Stock,Transaction Date,Buy/Sell,Type,Amount,Senator
TSM,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
RCL,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
AVGO,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
OXY,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
NVO,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
JPM,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
MCO,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
LVS,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
INCY,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
HXL,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
JKHY,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
ENB,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
ETN,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
CCI,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
CVX,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
CERN,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
CME,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
ASML,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
AZN,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
AMT,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
WEC,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
WMT,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
VFC,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
UTX,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
USB,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
MMM,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
TGT,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
SYY,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
QCOM,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
PG,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
PX,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
PII,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
PSX,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
PEP,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
PAYX,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
NVS,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
NSC,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
