Stock,Transaction Date,Buy/Sell,Type,Amount,Senator,Price
HLT,2017-09-12,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,64.48592376708984
WEC,2017-09-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,54.60981750488281
V,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,100.29644775390625
TSM,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,31.954544067382812
RCL,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,109.81285858154297
AVGO,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,196.35617065429688
OXY,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,50.82350540161133
NVO,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,19.50775718688965
JPM,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,73.84383392333984
MCO,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,127.99700927734375
LVS,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,54.82587814331055
INCY,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,129.4600067138672
HXL,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,51.547149658203125
JKHY,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,95.27218627929688
ENB,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,28.67336654663086
ETN,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,62.89638137817383
CCI,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,84.48416137695312
CVX,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,85.69953155517578
CME,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,103.94387817382812
ASML,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,150.51568603515625
AZN,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,27.150436401367188
AMT,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,126.14972686767578
WEC,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,53.02500915527344
WMT,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,78.53675079345703
VFC,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,61.08554458618164
USB,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,40.88443374633789
